Application No,Date Of Filing Application,Date Of Publication,Title,Name of Applicant,Address,Name of inventor,Abstract,No of Pages
4131/DELNP/2009 A ,23/06/2009,01/01/2010,PROCESSES FOR THE FLUX CALCINATION PRODUCTION OF TITANIUM DIOXIDE , 1)E.I. DU PONT DE NEMOURS AND COMPANY  ,"1007 MARKET STREET, WILMINGTON, DELAWARE 19898, U.S.A "," 1)TORARDI, CARMINE ",Processes for the production of rutile titanium dioxide from titanyl hydroxide using calcination with a flux are provided. Calcination in the presence of sodium chloride flux has been found to lower the calcination temperature used to produce the rutile form of titanium dioxide and to improve control of particle size.  ,18
4132/DELNP/2009 A ,23/06/2009,01/01/2010,ADAPTING TRANSMISSION AND RECEPTION ON TIME IN PACKET BASED CELLULAR SYSTEMS , 1)TELEFONAKTIEBOLAGET LM ERICSSON (PUBL)  ,SE-164 83 STOCKHOLM (SE) Sweden ," 1)LINDOFF, BENGT 2)HAARTSEN, JACOBUS CORNELIS ","A first transceiver in a packet-based communications system is operated to achieve efficiencies. The transceiver comprises a receiver and a transmitter for bidirectionally communicating with a second transceiver. In various embodiments, data and control traffic scheduling enables several unrelated items to be bundled during single transmission and/or reception instances. In one aspect, receiver operation involves receiving a first signal from the second transceiver, the first signal requiring that return link information be sent to the second transceiver. A period of time during which the first transceiver can begin a bundled transmission of the return link information and initiating link information that is unrelated to the information carried by the first signal is determined. The bundled transmission of the initiating and return link information is begun during the determined period of time. Application of power sufficient to support reception and/or transmission can be limited to only when those components are used  ",39
4241/DELNP/2009 A ,26/06/2009,01/01/2010,"""AN ISOLATED HUMAN OR HUMANIZED MONOCLONAL ANTIBODY"" ", 1)SCHERING AKTIENGESELLSCHAFT  ,"MULLERSTRASSE 178, 13353 BERLIN, GERMANY ", 1)RICHARD HARKINS 2)DEBORAH PARKES 3)GORDON PARRY 4)RENATE PARRY 5)DOUGLAS SCHNEIDER ,An isolated human or humanized monoclonal antibody which specifically binds RG1 and competes with an isolated human antibody comprisinga) a light chain variable region comprising the amino acid sequence of SEQ ID NO26 encoded by the nucleotide sequence comprising SEQ ID NO20 and b) a heavy chain variable region comprising the amino acid residuesi) 50 to 54 of SEQ ID NO27 ii) 69 to 84 of SEQ ID NO27 and iii) 117 to 132 of SEQ ID NO27 for binding RG1 polypeptide having the amino acid sequence of SEQ ID NO2.  ,42
4243/DELNP/2009 A ,26/06/2009,01/01/2010,"""HIGH ZINC-CONTAINING LEGUMES"" "," 1)SNOW BRAND SEED CO.,TD  ","5-1-8, KAMINOPPORO 1-JO, ATSUBETSU-KU, SAPPORO-SHI, HOKKAIDO 062-8560, JAPAN ", 1)HIDEAKI YAMAMOTO 2)MASAHIKO YAMAMOTO 3)HIROSHI SOEJIMA 4)HIDESHI SHINODA 5)MASANOBU OHASHI 6)YOSHIHIKO KATSURAGAWA ,"Provided are a legume containing high concentrations of zinc in the grains, and a method for producing the same. Provided are also grains of a legume, except adzuki bean, containing 5.5 mg/100 g or more of zinc, and a method for producing a legume containing 4.0 mg/100 g or more of zinc in the grains, the method including spraying a solution containing zinc at a concentration of 0.01 to 2% by weight, on the leaves or the raceme regions, starting from the flower bud stage of the legume.  ",41
4244/DELNP/2009 A ,26/06/2009,01/01/2010,"""TREATMENT OF PIGS WITH PCV2 ANTIGEN"" ", 1)BOEHRINGER INGELHEIM VETMEDICA INC.  ,"2621 NORTH BELT HIGHWAY, ST.JOSEPH, MO 64506-2002, U.S.A ", 1)VICKY FACHINGER  2)KNUT ELBERS 3)AXEL LISCHEWSKI 4)MARION KIXMOELLER 5)FRANCOIS-XAVIER ORVEILLON 6)ISABELLE FREIIN VON RICHTHOFEN 7)MICHAEL PIONTKOWSKI ,"The present invention relates to a method for the treatment or prophylaxis of a PCV2 infection or for reduction of clinical symptoms caused by or associated with a PCV2 infection in animals a) having anti-PCV2 antibodies and/or b) being young piglets of .1 to 22 days of age. comprising the step of administering an effective amount of a PCV2 antigen to that animal in need of such treatment Preferably, those animals are pigs or young piglets.  ",54
4133/DELNP/2009 A ,23/06/2009,01/01/2010,LOADING ESTIMATION USING SCHEDULED UPLINK POWER , 1)TELEFONAKTIEBOLAGET LM ERICSSON (PUBL)  ,SE-164 83 STOCKHOLM (SE) Sweden ," 1)WIGREN, KARL TORBJORN ","A method for providing load reference data in a CDMA system comprises measuring of received total wideband power and of received scheduled enhanced uplink power. State variables are selected corresponding to cell power quantities and measurement functions are selected corresponding to the measured received total wideband power and the measured received scheduled enhanced uplink power. A probability distribution for a first power quantity - related to the selected state variables - is estimated. A conditional probability distribution of a noise floor measure is computed based on the estimated probability distribution for the first power quantity. Load reference data is provided based on the computed conditional probability distribution of the noise floor measure. In a preferred embodiment, the first power quantity is a measure of the difference between received total wideband power and received scheduled enhanced uplink power. The load reference data can be used in e.g. enhanced uplink scheduling or admission control.  ",54
4134/DELNP/2009 A ,23/06/2009,01/01/2010,PROCESSES FOR THE HYDROTHERMAL PRODUCTION OF TITANIUM DIOXIDE , 1)E.I. DU PONT DE NEMOURS AND COMPANY  ,"1007 MARKET STREET, WILMINGTON, DELAWARE 19898, U.S.A "," 1)HUTCHENSON, KEITH, W 2)LI, SHENG 3)CORBIN, DAVID RICHARD 4)TORARDI, CARMINE 5)MCCARRON, EUGENE, MICHAEL ","The present invention provides hydrothermal processes for the production of titanium dioxide from titanyl hydroxide. The use of specific crystallization directors, or additives, can promote the formation of rutile, anatase, or brookite. Variation of process operating parameters can lead to either pigmentary-sized or nano-sized rutile.  ",40
4135/DELNP/2009 A ,23/06/2009,01/01/2010,"""THERMOSETTING COMPOSITION"" ", 1)HUNTSMAN ADVANCED MATERIALS (SWITZERLAND) GMBH  ,"KLYBECKSTRASSE 200, CH-4057 BASEL, SWITZERLAND ", 1)FRANS SETIABUDI ,"A thermosetting composition comprising (a) 97.9 to 40 percent by weight of at least one bis(dihydrobenzoxazine) prepared by the reaction of an unsubstituted or substituted bisphenol with at least one unsubstituted position ortho to each hydroxyl group, formaldehyde and a primary amine; (b) 2 to 50 percent by weight of at least one organic polyamine; and (c) 0.1 to 10 percent by weight of at least one curing catalyst, selected from the group of carboxylic acids, sulfonic acids and phosphonic acids having at least two acid groups and no other reactive groups; wherein the percent by weight refer to the total amount of components (a), (b) and (c) in the composition, with the proviso that (a), (b) and (c) add up to 100 percent by weight; and (d) and optionally other components. Cured products of these compositions show valuable chemical, physical and mechanical properties.  ",23
3511/DELNP/2009 A ,29/05/2009,01/01/2010,An apparatus that recharges a pre-paid account for services to be provided via a convergent communications platform and method thereof , 1)Upaid Systems Ltd.  ,19 Rue de Teheran 75008 Paris France , 1)GUPTA Prafulla C. 2)ENUGA Ashok Kumar Reddy 3)VAIDYA Manohar Sitaram 4)KASTURI Kalyan Chakravarthy 5)GUPTA Richa 6)MUNNANGI Suresh Kumar 7)JAMPANA Varma Laxmi Jagannadha Siva Kumar 8)UNDAVALLI Prasad Naganjaneya Vara 9)NALLAJERLA Kondal Rao 10)SISTLA Krishna Mohan 11)GUDIPATI Amba Prasad 12)NALLAGONDA Bhanu Murthy 13)VELPURI Surya Sekhar Lakshmi 14)KALLURI Veerabhadra Rao 15)SUBHASHREE Radhakrishnan 16)MOHAN KUMAR Sundaram 17)GOPARAJU Muralidhar 18)WALDAKAR Raju 19)SANTOS JR. Fernando Manoel Alves 20)VELAGALA Narendra Kumar 21)NAKKALA Anil Kumar Reddy 22)TUMMALA Anjayya Chowdary 23)KOMPELLA Krishna Mohan Venkata 24)MACHIRAJU Ravi Kiran 25)SEETAMSETTY Srinivas 26)VOORADI Gopal 27)BURUGULA Sesh Kumar Venkata Hara Naga 28)VELURU Ranganatham 29)VENKTA Vishnu 30)JOYCE Simon James ,"A method and apparatus for providing mobile and electronic commerce, customer care and communication services via networks, including receiving in a roaming network an identification number and a request for a service, forwarding to a home network the identification number, the request for the service, and a cost/rate of the service, verifying, by a convergent communication platform located on the home network, that the identification number relates to a valid user account, that a user device is authorized to receive the service, and that the valid user account has sufficient value, providing an authorization to the service provider, and charging the valid user account on a real time basis. The convergent communications system employs a rul...  ",115
3512/DELNP/2009 A ,29/05/2009,01/01/2010,An apparatus that settles a pre-paid transaction to a plurality of providers in a convergent communications environment and method thereof , 1)Upaid Systems Ltd.  ,19 Rue de Teheran 75008 Paris France , 1)GUPTA Prafulla C. 2)ENUGA Ashok Kumar Reddy 3)VAIDYA Manohar Sitaram 4)KASTURI Kalyan Chakravarthy 5)GUPTA Richa 6)MUNNANGI Suresh Kumar 7)JAMPANA Varma Laxmi Jagannadha Siva Kumar 8)UNDAVALLI Prasad Naganjaneya Vara 9)NALLAJERLA Kondal Rao 10)SISTLA Krishna Mohan 11)GUDIPATI Amba Prasad 12)NALLAGONDA Bhanu Murthy 13)VELPURI Surya Sekhar Lakshmi 14)KALLURI Veerabhadra Rao 15)SUBHASHREE Radhakrishnan 16)MOHAN KUMAR Sundaram 17)GOPARAJU Muralidhar 18)WALDAKAR Raju 19)SANTOS JR. Fernando Manoel Alves 20)VELAGALA Narendra Kumar 21)NAKKALA Anil Kumar Reddy 22)TUMMALA Anjayya Chowdary 23)KOMPELLA Krishna Mohan Venkata 24)MACHIRAJU Ravi Kiran 25)SEETAMSETTY Srinivas 26)VOORADI Gopal 27)BURUGULA Sesh Kumar Venkata Hara Naga 28)VELURU Ranganatham 29)VENKTA Vishnu 30)JOYCE Simon James ,"A method and apparatus for providing mobile and electronic commerce, customer care and communication services via networks, including receiving in a roaming network an identification number and a request for a service, forwarding to a home network the identification number, the request for the service, and a cost/rate of the service, verifying, by a convergent communication platform located on the home network, that the identification number relates to a valid user account, that a user device is authorized to receive the service, and that the valid user account has sufficient value, providing an authorization to the service provider, and charging the valid user account on a real time basis. The convergent communications system employs a rul...  ",116
3513/DELNP/2009 A ,29/05/2009,01/01/2010,An apparatus that provides customer care services via a plurality of networks and method thereof , 1)Upaid Systems Ltd.  ,19 Rue de Teheran 75008 Paris France France , 1)GUPTA Prafulla C. 2)ENUGA Ashok Kumar Reddy 3)VAIDYA Manohar Sitaram 4)KASTURI Kalyan Chakravarthy 5)GUPTA Richa 6)MUNNANGI Suresh Kumar 7)JAMPANA Varma Laxmi Jagannadha Siva Kumar 8)UNDAVALLI Prasad Naganjaneya Vara 9)NALLAJERLA Kondal Rao 10)SISTLA Krishna Mohan 11)GUDIPATI Amba Prasad 12)NALLAGONDA Bhanu Murthy 13)VELPURI Surya Sekhar Lakshmi 14)KALLURI Veerabhadra Rao 15)SUBHASHREE Radhakrishnan 16)MOHAN KUMAR Sundaram 17)GOPARAJU Muralidhar 18)WALDAKAR Raju 19)SANTOS JR. Fernando Manoel Alves 20)VELAGALA Narendra Kumar 21)NAKKALA Anil Kumar Reddy 22)TUMMALA Anjayya Chowdary 23)KOMPELLA Krishna Mohan Venkata 24)MACHIRAJU Ravi Kiran 25)SEETAMSETTY Srinivas 26)VOORADI Gopal 27)BURUGULA Sesh Kumar Venkata Hara Naga 28)VELURU Ranganatham 29)VENKTA Vishnu 30)JOYCE Simon James ,"A method and apparatus for providing mobile and electronic commerce, customer care and communication services via networks, including receiving in a roaming network an identification number and a request for a service, forwarding to a home network the identification number, the request for the service, and a cost/rate of the service, verifying, by a convergent communication platform located on the home network, that the identification number relates to a valid user account, that a user device is authorized to receive the service, and that the valid user account has sufficient value, providing an authorization to the service provider, and charging the valid user account on a real time basis. The convergent communications system employs a rul...  ",115
3514/DELNP/2009 A ,29/05/2009,01/01/2010,An apparatus that provides pre-paid roaming communication services via a plurality of networks and method , 1)Upaid Systems Ltd.  ,19 Rue de Teheran 75008 Paris France , 1)GUPTA Prafulla C. 2)ENUGA Ashok Kumar Reddy 3)VAIDYA Manohar Sitaram 4)KASTURI Kalyan Chakravarthy 5)GUPTA Richa 6)MUNNANGI Suresh Kumar 7)JAMPANA Varma Laxmi Jagannadha Siva Kumar 8)UNDAVALLI Prasad Naganjaneya Vara 9)NALLAJERLA Kondal Rao 10)SISTLA Krishna Mohan 11)GUDIPATI Amba Prasad 12)NALLAGONDA Bhanu Murthy 13)VELPURI Surya Sekhar Lakshmi 14)KALLURI Veerabhadra Rao 15)SUBHASHREE Radhakrishnan 16)MOHAN KUMAR Sundaram 17)GOPARAJU Muralidhar 18)WALDAKAR Raju 19)SANTOS JR. Fernando Manoel Alves 20)VELAGALA Narendra Kumar 21)NAKKALA Anil Kumar Reddy 22)TUMMALA Anjayya Chowdary 23)KOMPELLA Krishna Mohan Venkata 24)MACHIRAJU Ravi Kiran 25)SEETAMSETTY Srinivas 26)VOORADI Gopal 27)BURUGULA Sesh Kumar Venkata Hara Naga 28)VELURU Ranganatham 29)VENKTA Vishnu 30)JOYCE Simon James ,"A method and apparatus for providing mobile and electronic commerce, customer care and communication services via networks, including receiving in a roaming network an identification number and a request for a service, forwarding to a home network the identification number, the request for the service, and a cost/rate of the service, verifying, by a convergent communication platform located on the home network, that the identification number relates to a valid user account, that a user device is authorized to receive the service, and that the valid user account has sufficient value, providing an authorization to the service provider, and charging the valid user account on a real time basis. The convergent communications system employs a rul...  ",115
3515/DELNP/2009 A ,29/05/2009,01/01/2010,A user input device for accessing an account in a convergent communications system , 1)Upaid Systems Ltd.  ,19 Rue de Teheran 75008 Paris France , 1)GUPTA Prafulla C. 2)ENUGA Ashok Kumar Reddy 3)VAIDYA Manohar Sitaram 4)KASTURI Kalyan Chakravarthy 5)GUPTA Richa 6)MUNNANGI Suresh Kumar 7)JAMPANA Varma Laxmi Jagannadha Siva Kumar 8)UNDAVALLI Prasad Naganjaneya Vara 9)NALLAJERLA Kondal Rao 10)SISTLA Krishna Mohan 11)GUDIPATI Amba Prasad 12)NALLAGONDA Bhanu Murthy 13)VELPURI Surya Sekhar Lakshmi 14)KALLURI Veerabhadra Rao 15)SUBHASHREE Radhakrishnan 16)MOHAN KUMAR Sundaram 17)GOPARAJU Muralidhar 18)WALDAKAR Raju 19)SANTOS JR. Fernando Manoel Alves 20)VELAGALA Narendra Kumar 21)NAKKALA Anil Kumar Reddy 22)TUMMALA Anjayya Chowdary 23)KOMPELLA Krishna Mohan Venkata 24)MACHIRAJU Ravi Kiran 25)SEETAMSETTY Srinivas 26)VOORADI Gopal 27)BURUGULA Sesh Kumar Venkata Hara Naga 28)VELURU Ranganatham 29)VENKTA Vishnu 30)JOYCE Simon James ,"The present invention relates to a user input device for accessing an account in a convergent communications system, comprisinga transmitter that transmits to the convergent communications system for accessing an authorized user account and requesting a transaction from an account manager, wherein the account manager comprises a determiner that determines, for an authorized user, at least one rule applicable at that time for authorizing a transaction and debiting an account, a processor that applies the at least one rule for authorizing the transaction, a debiter that debits the account, according to the at least one rule for debiting an account, in real time if the transaction is authorized, and a settler that settles the real time debit to a plurality of transaction providers in accordance with at least one settlement rule  ",116
3516/DELNP/2009 A ,29/05/2009,01/01/2010,"An apparatus that provides mobile commerce, electronic commerce, customer care and communication services via a plurality of networks and method thereof ", 1)Upaid Systems Ltd.  ,19 Rue de Teheran 75008 Paris France , 1)GUPTA Prafulla C. 2)ENUGA Ashok Kumar Reddy 3)VAIDYA Manohar Sitaram 4)KASTURI Kalyan Chakravarthy 5)GUPTA Richa 6)MUNNANGI Suresh Kumar 7)JAMPANA Varma Laxmi Jagannadha Siva Kumar 8)UNDAVALLI Prasad Naganjaneya Vara 9)NALLAJERLA Kondal Rao 10)SISTLA Krishna Mohan 11)GUDIPATI Amba Prasad 12)NALLAGONDA Bhanu Murthy 13)VELPURI Surya Sekhar Lakshmi 14)KALLURI Veerabhadra Rao 15)SUBHASHREE Radhakrishnan 16)MOHAN KUMAR Sundaram 17)GOPARAJU Muralidhar 18)WALDAKAR Raju 19)SANTOS JR. Fernando Manoel Alves 20)VELAGALA Narendra Kumar 21)NAKKALA Anil Kumar Reddy 22)TUMMALA Anjayya Chowdary 23)KOMPELLA Krishna Mohan Venkata 24)MACHIRAJU Ravi Kiran 25)SEETAMSETTY Srinivas 26)VOORADI Gopal 27)BURUGULA Sesh Kumar Venkata Hara Naga 28)VELURU Ranganatham 29)VENKTA Vishnu 30)JOYCE Simon James ,"A method and apparatus for providing mobile and electronic commerce, customer care and communication services via networks, including receiving in a roaming network an identification number and a request for a service, forwarding to a home network the identification number, the request for the service, and a cost/rate of the service, verifying, by a convergent communication platform located on the home network, that the identification number relates to a valid user account, that a user device is authorized to receive the service, and that the valid user account has sufficient value, providing an authorization to the service provider, and charging the valid user account on a real time basis. The convergent communications system employs a rul...  ",119
3517/DELNP/2009 A ,29/05/2009,01/01/2010,A convergent communications method employing a rule set , 1)Upaid Systems Ltd.  ,19 Rue de Teheran 75008 Paris France , 1)GUPTA Prafulla C. 2)ENUGA Ashok Kumar Reddy 3)VAIDYA Manohar Sitaram 4)KASTURI Kalyan Chakravarthy 5)GUPTA Richa 6)MUNNANGI Suresh Kumar 7)JAMPANA Varma Laxmi Jagannadha Siva Kumar 8)UNDAVALLI Prasad Naganjaneya Vara 9)NALLAJERLA Kondal Rao 10)SISTLA Krishna Mohan 11)GUDIPATI Amba Prasad 12)NALLAGONDA Bhanu Murthy 13)VELPURI Surya Sekhar Lakshmi 14)KALLURI Veerabhadra Rao 15)SUBHASHREE Radhakrishnan 16)MOHAN KUMAR Sundaram 17)GOPARAJU Muralidhar 18)WALDAKAR Raju 19)SANTOS JR. Fernando Manoel Alves 20)VELAGALA Narendra Kumar 21)NAKKALA Anil Kumar Reddy 22)TUMMALA Anjayya Chowdary 23)KOMPELLA Krishna Mohan Venkata 24)MACHIRAJU Ravi Kiran 25)SEETAMSETTY Srinivas 26)VOORADI Gopal 27)BURUGULA Sesh Kumar Venkata Hara Naga 28)VELURU Ranganatham 29)VENKTA Vishnu 30)JOYCE Simon James ,"A method and apparatus for providing mobile and electronic commerce, customer care and communication services via networks, including receiving in a roaming network an identification number and a request for a service, forwarding to a home network the identification number, the request for the service, and a cost/rate of the service, verifying, by a convergent communication platform located on the home network, that the identification number relates to a valid user account, that a user device is authorized to receive the service, and that the valid user account has sufficient value, providing an authorization to the service provider, and charging the valid user account on a real time basis. The convergent communications system employs a rul...  ",116
3518/DELNP/2009 A ,29/05/2009,01/01/2010,FLANGE JOINT FOR STRUCTURAL MEMBER , 1)MITSUBISHI HEAVY INDUSTRIES LTD.  ,16-5 Konan 2-chome Minato-ku Tokyo 108-8215 JAPAN , 1)Tomohiro NUMAJIRI ,"Provided is a flange joint for a structural member in which the reduction in the weight and size of a structure can be realized by avoiding stress concentration on a welding part, and the size of its cross section can be determined based on the base material strength. In the flange joint (20) for a structural member, the end surface (21a) of an H-steel (21) or the like is welded to the structural member joining surface (22a) side of an end plate (22), the non-joining surface (22b) of the end plate (22) is aligned with a structural member to be joined, and in such a state, structural members are joined to each other. Recessed groove parts (23) are provided on the structural member joining surface (22a) side of the end plate (22) to which the end surface (21a) of the H-steel (21) is joined, along the shape of the welding part of the end surface (21a). ",24
1251/MUMNP/2009 A ,02/07/2009,01/01/2010,WIRELESS COMMUNICATION SYSTEM , 1)DELTENNA LIMITED  ,"FIRST FLOOR, UNIT 2, GREENWAYS BUSINESS PARK, BELLINGER CLOSE, CHIPPENHAM, WILTSHIRE SN15 1BN, UNITED KINGDOM. ", 1)ANDREW JOHN FOX ,"An access point allows access from at least one user device, which may be a wireless device or a wired local area network device. The access point has radio frequency transceiver circuitry for communicating over a wireless link with a base station selected from a plurality of available base stations, and an antenna, having an adjustable preferred direction for transmission and reception of radio frequency signals. Control circuitry selects a preferred direction for the antenna such that the access point can establish a wireless link with one of said base stations, based on a data rate that is available over the wireless link.  ",21
1281/MUMNP/2009 A ,08/07/2009,01/01/2010,AN AUTOMATIC FREQUENCY DEVIATION CORRECTION SYSTEM FOR A MOBILE TERMINAL AND THE METHOD THEREOF , 1)ZTE CORPORATION  ,"ZTE PLAZA, KEJI ROAD, SOUTH HI-TECH INDUSTRIAL PARK, NANSHAN DISTRICT, SHENZHEN, GUANGDONG PROVINCE 518057, P.R. CHINA. ", 1)TIAN XUEHONG ,"The present invention provides an automatic frequency deviation correction method for a mobile terminal, comprising the step of configuring the mobile terminal with an initial frequency deviation value, which includes the following stepswhen the mobile terminal initially accesses a cell, it synchronizes slots at intervals of a predetermined frequency deviation within a predetermined frequency deviation scanning range, and obtains the signal-to-interference ratio (SIR) of primary synchronization signal at the frequency deviation; after scanning the whole predetermined frequency deviation scanning range, the frequency deviation value corresponding to the maximum SIR of all the obtained SIRs as the initial frequency deviation value; and the mobile terminal is configured with the initial frequency deviation value to assure that the frequency deviation is controlled within the predetermined frequency deviation during the initial access. The present invention also provides an automatic frequency deviation correction system for a mobile terminal.  ",33
1313/MUM/2008 A ,24/06/2008,01/01/2010,AN IMPELLER MOUNTED ON THE PUMP SHAFT , 1)KIRLOSKAR BROTHERS LIMITED  ,"UDYOG BHAVAN, TILAK ROAD, PUNE-411002, MAHARASHTRA, INDIA. ", 1)BIRAJDAR RAVINDRA SHARANAPPA  2)KULKARNI PRASAD MADHAVRAO 3)BODKE MALOJI MAHADEV ,"An antirotational fitting means 400 shown below in for fitting a case-wear ring to the casing of a horizontal split case pump is disclosed wherein the problem of breakage of the pin and time wastage in the assembling of the case-wear ring in the casing of the pump are removed by providing slots. As a result there is no breakage of pin, assembling is done with full visibility of both pin and complementary slots, and assembly hours of skilled labour are saved.  ",15
1314/MUM/2008 A ,24/06/2008,01/01/2010,AN IMPELLER MOUNTED ON THE PUMP SHAFT , 1)KIRLOSKAR BROTHERS LIMITED  ,"UDYOG BHAVAN, TILAK ROAD, PUNE-411002 Maharashtra India ", 1)KHADE SHAILENDRA RAJARAM 2)KHANZODE KEDAR MOHAN 3)BIRJE RAMESH NAGENDRA 4)DEOKULE SANGRAM MAHADEO ,"An assembly 400 for disengagement of an impeller from the shaft of end suction solid handling pump is disclosed wherein the problem of damage to the impeller and shaft during the disengagement of an impeller from the shaft is removed with the help of a puller . As a result use of wedges and hammers, lubrication between shaft and impeller is eliminated and considerable amount of time is saved in the disengagement of an impeller from the shaft.  ",20
1315/MUM/2008 A ,24/06/2008,01/01/2010,BEARING HOUSING OF THE PUMP , 1)KIRLOSKAR BROTHERS LIMITED  ,"UDYOG BHAVAN, TILAK ROAD, PUNE-411002, MAHARASHTRA, INDIA. ", 1)BIRAJDAR RAVINDRA SHARANAPPA 2)KULKARNI PRASAD MADHAVRAO 3)BODKE MALOJI MAHADEV ,"A bearing assembly for mounting on the rotor shaft is disclosed wherein an insert is provided with slots. A bearing housing cover, housing a bearing housing is fitted to the insert. The bearing housing cover is typically of engineering plastic. The bearing assembly of the present invention enables easy maintenance of the bearings.  ",22
1209/MUMNP/2009 A ,26/06/2009,01/01/2010,RESPOSABLE BIOSNSOR ASSEMBLY AND METHOD , 1)ISENSE CORPORATION  ,"27700 SW 95TH AVENUE, WILSONVILLE, OREGON 97070, U.S.A. ", 1)BRUCE ROBERT 2)SASS RICHARD G. 3)WARD W KENNETH ,"A device, system, and method for delivering a device such as a sensor or fluid transport structure or a fluid transport structure sensor combination into, for example, mammalian skin and receiving, analyzing, and displaying signals from the device such as a sensor are disclosed. A system in accordance with embodiments of the present invention includes a reusable sensor assembly including a transmitter, microcontroller, and housing plus disposable sensor assembly including a housing having an opening for receiving both the distal end of a biosensor, a sensor insertion guidance structure, and a transmission apparatus for transmitting signals received from the sensor to a reusable sensor assembly for transmission to an external electronic monitoring unit.  ",42
1318/MUM/2008 A ,24/06/2008,01/01/2010,COLD FORMABLE FILMS , 1)BILCARE LIMITED  ,"1028, SHIROLI,RAJGURUNAGAR, (TALUKA KHED), PUNE-411505, MAHARASHTRA, INDIA ", 1)BHANDARI MOHAN HARAKCHAND 2)NAIK PRAFUL RAMCHANDRA 3)ajith shashidharan 4)kulkarni sanjeev 5)bhagwat shrikant 6)naik sudhir 7)sant anirudhh 8)gudsurkar ganesh ,A multilayered formable packaging film and a method of manufacturing the film are disclosed. The film is suitable for making blisters either by thermoforming or cold forming. The visible surface of the film has unique features which prevent counterfeiting. These features are retained on the film even after blister formation.  ,64
1319/MUM/2008 A ,24/06/2008,01/01/2010,SYSTEM FOR EVALUATION OF CUSTOMER SATISFACTION AND EXPERIENCE , 1)SINGH IALCHANDRA  ,"1st floor, AMAR AVINASH COPORATE CITY, 11 BUND GARDEN ROAD, PUNE-411001, MAHARASHTRA, INDIA. ", 1)SINGH LALCHANDHA ,"The present invention discloses a system and a method for evaluating customer loyalty. The system evaluates customer loyalty by calculating a satisfaction rating which is based on the customers"" initial perception and actual experience of buying a product and/or service.  ",48
1320/MUM/2008 A ,24/06/2008,01/01/2010,POWER GENERATION , 1)THAKKAR JATIN VASANT  ,"L-3/4 EDEN HALL, DR. ANNIE BESANT ROAD, WORLI, MUMBAI-400018. Maharashtra India ", 1)THAKKAR JATIN VASANT ,"A power generation system to provide a reliable and consistent power to a load, said system comprising a source of DC power (B), a plurality of conducting paths, one for supplying power to the load and the other providing a feedback power to said source of DC power (B),at least one DC motor (DC M) connected to said source of DC power and being adapted to convert input electrical energy from said source of DC power supply to mechanical energy and at least one alternator connected to each of said DC motors and adapted to convert mechanical energy from each of said DC motors to electrical energy, one of said alternators (AC A) being further adapted to supply AC power to the load and one more of said alternators (DC A) being further adapted to provide feedback power to said source of DC power (B).  ",20
1322/MUM/2008 A ,24/06/2008,01/01/2010,XANTHOPHYLL COMPOSITION CONTAINING ESSENTIAL MACULAR PIGMENTS AND A PROCESS FOR ITS PREPARATION , 1)OMNIACTIVE HEALTH TECHNOLOGIES LTD  ,"RAJAN HOUSE, APPASAHEB MARATHE MARG, PRABHADEVI, MUMBAI-400025. Maharashtra India ", 1)SUNIL KUMAR T.K. 2)SHERENA P.A. ,"The present invention provides a xanthophyll composition containing at least 80% by weight of total xanthophylls ,( out) of which the trans-lutein content is at least 80% by weight and the remaining being zeaxanthin isomers, namely, R,R-zeaxanthin and R,S -zeaxanthin and traces of other carotenoids derived from the plant extract. oleoresin containing xanthophylls esters which is safe for human consumption and useful for nutrition and health care. The invention also provides a process for the preparation of the composition .  ",28
1323/MUM/2008 A ,24/06/2008,01/01/2010,CULTURE MEDIA AND A PROCESS FOR CULTURING ALGAE , 1)Randhir Singh Gajraj  ,"8, Prabhat, Opp- Ravindra Natya Mandir, Prabhadevi, Mumbai - 400025, Maharashtra, India ", 1)Randhir Singh ,The present invention is directed towards curtailing the use of harsh saline atmosphere and producing algal biomass free from salinity. It provides a salinity free medium and a process for culturing and producing algal biomass preferably Dunaliella biomass free from salinity and rich in natural mixed carotenoid content.  ,23
1222/MUMNP/2009 A ,29/06/2009,01/01/2010,COMBINED-CYCLE PLANT FOR GENERATION OF ELECTRICAL ENERGY , 1)ANSALDO ENERGIA S.P.A.  ,"VIA NICOLA LORENZI 8, I-16152 GENOVA, ITALY. ", 1)PRATICO FERDINANDO 2)TARTAGLIA AMEDEO ,"A combined- cycle plant (1) for the production of electrical energy has a gas -turbine unit (3) provided witha combustion chamber (5); a steam-turbine unit (9) provided with a degasser (11), a boiler (12), and a circuit (13) for supply of the steam that has undergone condensation to the degasser (11) and to the boiler (12); a unit for compression (14) of siderurgical gases for supplying the combustion chamber (5) with compressed siderurgical gases; and a heat-exchange unit (34) for transferring the heat generated by the compression unit (14) to the steam that has undergone condensation upstream of the degasser (11) in the steam-turbine unit (9).  ",16
